condition,step,erank_A,erank_B,erank_AB,erank_C
no_noise,3662,30.4214,30.3795,26.4381,599.99
no_noise,3672,30.3412,30.3617,26.1605,599.989
no_noise,3682,30.3246,30.4141,26.3419,599.989
no_noise,3692,30.3026,30.4264,26.2702,599.992
no_noise,3702,30.2909,30.3771,26.1804,599.994
no_noise,3712,30.3379,30.4021,26.4061,599.994
no_noise,3722,30.3682,30.3212,26.2422,599.995
no_noise,3732,30.3242,30.2995,25.95,600.006
no_noise,3742,30.2782,30.2901,25.8,600
no_noise,3752,30.2374,30.2439,25.6034,600.001
no_noise,3762,30.3067,30.1987,25.5718,600.015
no_noise,3772,30.3523,30.2293,25.7812,600.025
no_noise,3782,30.3592,30.1892,25.6595,600.027
no_noise,3792,30.3219,30.226,25.6121,600.028
no_noise,3802,30.4139,30.2594,25.8908,600.032
no_noise,3812,30.3947,30.2644,25.8399,600.03
no_noise,3822,30.3903,30.3383,26.0496,600.036
no_noise,3832,30.3038,30.3249,25.7936,600.043
no_noise,3842,30.2916,30.3089,25.8026,600.043
no_noise,3852,30.2518,30.2867,25.6054,600.047
no_noise,3862,30.2376,30.3147,25.632,600.047
no_noise,3872,30.2486,30.3612,25.7825,600.045
no_noise,3882,30.2534,30.3805,25.8975,600.045
no_noise,3892,30.224,30.3667,25.8179,600.051
no_noise,3902,30.2875,30.4024,25.9915,600.056
no_noise,3912,30.2482,30.3586,25.7904,600.057
no_noise,3922,30.214,30.3394,25.6625,600.054
no_noise,3932,30.2431,30.3838,25.9005,600.066
no_noise,3942,30.2816,30.4478,26.1151,600.076
no_noise,3952,30.2429,30.489,26.2141,600.076
no_noise,3962,30.2607,30.5354,26.4371,600.078
no_noise,3972,30.2935,30.522,26.5443,600.076
no_noise,3982,30.3126,30.5455,26.6389,600.08
no_noise,3992,30.2785,30.5245,26.5671,600.076
no_noise,4002,30.275,30.4933,26.4661,600.078
no_noise,4012,30.2898,30.4616,26.3547,600.083
no_noise,4022,30.2277,30.5034,26.2267,600.088
no_noise,4032,30.2391,30.4617,26.1765,600.095
no_noise,4042,30.2257,30.4826,26.2637,600.101
no_noise,4052,30.1558,30.4318,25.9466,600.112
no_noise,4062,30.1889,30.4816,26.2162,600.12
no_noise,4072,30.168,30.495,26.1514,600.122
no_noise,4082,30.1277,30.443,25.8375,600.124
no_noise,4092,30.1917,30.4576,25.9759,600.13
no_noise,4102,30.1541,30.495,26.0758,600.132
no_noise,4112,30.157,30.4881,26.0165,600.133
no_noise,4122,30.0788,30.4314,25.5637,600.136
no_noise,4132,30.1522,30.3917,25.5946,600.131
no_noise,4142,30.1421,30.4407,25.5333,600.129
no_noise,4152,30.1489,30.3602,25.3486,600.128
no_noise,4162,30.2507,30.3146,25.4467,600.139
no_noise,4172,30.1788,30.2843,25.1804,600.141
no_noise,4182,30.1481,30.1603,24.8274,600.139
no_noise,4192,30.2089,30.1674,24.9692,600.138
no_noise,4202,30.1267,30.1473,24.753,600.147
no_noise,4212,30.1517,30.147,24.7617,600.147
no_noise,4222,30.0719,30.0973,24.4134,600.147
no_noise,4232,30.1083,30.172,24.8213,600.143
no_noise,4242,30.147,30.1468,24.9395,600.138
no_noise,4252,30.2073,30.1663,25.1906,600.143
no_noise,4262,30.137,30.0702,24.7877,600.14
no_noise,4272,30.0981,29.9655,24.4355,600.136
no_noise,4282,30.1159,29.9165,24.3154,600.134
no_noise,4292,30.2076,29.9708,24.8275,600.132
no_noise,4302,30.2329,29.9766,25.0826,600.135
no_noise,4312,30.2747,29.9894,25.294,600.137
no_noise,4322,30.2717,30.0246,25.4525,600.137
no_noise,4332,30.2226,29.968,25.0776,600.144
no_noise,4342,30.2403,29.9702,25.0389,600.138
no_noise,4352,30.3098,29.9639,25.2373,600.131
no_noise,4362,30.3433,29.9553,25.2572,600.135
no_noise,4372,30.341,29.9444,25.0726,600.132
no_noise,4382,30.2942,29.8933,24.9003,600.131
no_noise,4392,30.2575,29.9743,24.9259,600.129
no_noise,4402,30.3032,29.951,24.968,600.123
no_noise,4412,30.2606,29.9878,24.9388,600.133
no_noise,4422,30.2885,30.0134,25.007,600.136
