condition,step,quantity,bin_idx,bin_low,bin_high,bin_center,count
no_noise,3689,B,26,0.00723099,0.0128475,0.0100392,1345
no_noise,3689,B,27,0.0128475,0.018464,0.0156558,1345
no_noise,3689,B,28,0.018464,0.0240805,0.0212723,1236
no_noise,3689,B,29,0.0240805,0.029697,0.0268888,1131
no_noise,3689,B,30,0.029697,0.0353135,0.0325053,998
no_noise,3689,B,31,0.0353135,0.0409301,0.0381218,846
no_noise,3689,B,32,0.0409301,0.0465466,0.0437383,779
no_noise,3689,B,33,0.0465466,0.0521631,0.0493548,644
no_noise,3689,B,34,0.0521631,0.0577796,0.0549713,509
no_noise,3689,B,35,0.0577796,0.0633961,0.0605878,405
no_noise,3689,B,36,0.0633961,0.0690126,0.0662044,300
no_noise,3689,B,37,0.0690126,0.0746291,0.0718209,234
no_noise,3689,B,38,0.0746291,0.0802456,0.0774374,191
no_noise,3689,B,39,0.0802456,0.0858621,0.0830539,126
no_noise,3689,B,40,0.0858621,0.0914787,0.0886704,95
no_noise,3689,B,41,0.0914787,0.0970952,0.0942869,70
no_noise,3689,B,42,0.0970952,0.102712,0.0999034,40
no_noise,3689,B,43,0.102712,0.108328,0.10552,32
no_noise,3689,B,44,0.108328,0.113945,0.111136,19
no_noise,3689,B,45,0.113945,0.119561,0.116753,16
no_noise,3689,B,46,0.119561,0.125178,0.122369,8
no_noise,3689,B,47,0.125178,0.130794,0.127986,3
no_noise,3689,B,48,0.130794,0.136411,0.133602,2
no_noise,3689,B,49,0.136411,0.142027,0.139219,3
no_noise,3689,C_eff,0,-0.309164,-0.298951,-0.304058,1
no_noise,3689,C_eff,1,-0.298951,-0.288738,-0.293844,0
no_noise,3689,C_eff,2,-0.288738,-0.278524,-0.283631,0
no_noise,3689,C_eff,3,-0.278524,-0.268311,-0.273418,0
no_noise,3689,C_eff,4,-0.268311,-0.258098,-0.263204,0
no_noise,3689,C_eff,5,-0.258098,-0.247884,-0.252991,0
no_noise,3689,C_eff,6,-0.247884,-0.237671,-0.242778,1
no_noise,3689,C_eff,7,-0.237671,-0.227458,-0.232564,0
no_noise,3689,C_eff,8,-0.227458,-0.217244,-0.222351,1
no_noise,3689,C_eff,9,-0.217244,-0.207031,-0.212138,0
no_noise,3689,C_eff,10,-0.207031,-0.196817,-0.201924,0
no_noise,3689,C_eff,11,-0.196817,-0.186604,-0.191711,1
no_noise,3689,C_eff,12,-0.186604,-0.176391,-0.181497,1
no_noise,3689,C_eff,13,-0.176391,-0.166177,-0.171284,1
no_noise,3689,C_eff,14,-0.166177,-0.155964,-0.161071,11
no_noise,3689,C_eff,15,-0.155964,-0.145751,-0.150857,28
