layer_name,layer_idx,sublayer,q,safety,theta,CCR,QZR_nonzero,cosine_sim
bert.encoder.layer.1.attention.self.value,1,V,0.995,1.1,0.0010496565490029754,0.0041268103026940025,0.12837269995425582,0.9993957236249784
bert.encoder.layer.1.attention.self.value,1,V,0.995,1.2,0.0011450798716396093,0.003446970671350823,0.12840410808602304,0.999403762269268
bert.encoder.layer.1.attention.self.value,1,V,0.999,1.0,0.0016906856326386333,0.0010032228073334484,0.12848560462780542,0.999421676962256
bert.encoder.layer.1.attention.self.value,1,V,0.999,1.1,0.0018597541959024966,0.0006651403960708944,0.12849403563453515,0.9994235143666651
bert.encoder.layer.1.attention.self.value,1,V,0.999,1.2,0.00202882275916636,0.0004556762934408337,0.12849975359880417,0.9994248924199719
bert.encoder.layer.2.attention.self.key,2,K,0.9,1.0,6.508909427793697e-05,0.10000257236617265,0.1711622418443192,0.9965854135813584
bert.encoder.layer.2.attention.self.key,2,K,0.9,1.1,7.159800370573067e-05,0.08745310025245936,0.17262938056953048,0.997029031908365
bert.encoder.layer.2.attention.self.key,2,K,0.9,1.2,7.810691313352436e-05,0.07704236687086355,0.173835344696257,0.9973807800149197
bert.encoder.layer.2.attention.self.key,2,K,0.95,1.0,0.00010496749018784612,0.05000312358749536,0.17708600500629545,0.9982642270223392
bert.encoder.layer.2.attention.self.key,2,K,0.95,1.1,0.00011546423920663074,0.0434950371706912,0.17789076422061786,0.9984670305339864
bert.encoder.layer.2.attention.self.key,2,K,0.95,1.2,0.00012596098822541534,0.03781378273795306,0.17854107141023498,0.9986250473131635
bert.encoder.layer.2.attention.self.key,2,K,0.99,1.0,0.00027182867052033544,0.010002829602789915,0.181540595857432,0.9992986857046262
bert.encoder.layer.2.attention.self.key,2,K,0.99,1.1,0.000299011537572369,0.008110303061483226,0.18169476078769567,0.9993288880395997
bert.encoder.layer.2.attention.self.key,2,K,0.99,1.2,0.00032619440462440253,0.006717550519434227,0.18180851239038842,0.9993503627036303
bert.encoder.layer.2.attention.self.key,2,K,0.995,1.0,0.00037362086004577577,0.005001414801394957,0.18194595406942543,0.999377119905337
bert.encoder.layer.2.attention.self.key,2,K,0.995,1.1,0.0004109829460503534,0.0039210210088820125,0.1820184071366855,0.9993904410873025
