layer_idx,sublayer,extra_bit,from_bits,to_bits,marginal_gain
10,Q,5,8,9,0.03620068747922293
10,Q,6,9,10,0.019028541852181155
10,Q,7,10,11,0.009667421319052426
10,Q,8,11,12,0.004861323768167378
10,V,1,4,5,0.19939379956376468
10,V,2,5,6,0.16082137562723908
10,V,3,6,7,0.11503580023771304
10,V,4,7,8,0.07414936603352339
10,V,5,8,9,0.044697341413653585
10,V,6,9,10,0.0253774658468971
10,V,7,10,11,0.013712304966524553
10,V,8,11,12,0.007128265694081454
11,FFN1,1,4,5,0.23464166459772873
11,FFN1,2,5,6,0.22679996550609682
11,FFN1,3,6,7,0.16222900939235513
11,FFN1,4,7,8,0.10377336622112146
11,FFN1,5,8,9,0.06355877962309807
11,FFN1,6,9,10,0.03727161310575433
11,FFN1,7,10,11,0.0211694173013007
11,FFN1,8,11,12,0.012072496333127368
11,FFN2,1,4,5,0.11854577797930926
11,FFN2,2,5,6,0.05557921030849902
11,FFN2,3,6,7,0.02730974653811384
11,FFN2,4,7,8,0.01300815969435883
11,FFN2,5,8,9,0.006274779765493686
11,FFN2,6,9,10,0.0030614090792854343
11,FFN2,7,10,11,0.0015154484669371538
11,FFN2,8,11,12,0.0007682426239648312
11,K,1,4,5,0.18156886351927348
11,K,2,5,6,0.16372154990462195
11,K,3,6,7,0.13177242073793463
11,K,4,7,8,0.09589550807607825
11,K,5,8,9,0.0636567441591646
11,K,6,9,10,0.038984214906466974
11,K,7,10,11,0.022638436299223588
11,K,8,11,12,0.012496650123441649
11,O,1,4,5,0.1172452983018728
11,O,2,5,6,0.05354784620380347
11,O,3,6,7,0.025418871038954235
11,O,4,7,8,0.012404208201746212
11,O,5,8,9,0.0061212721413968305
11,O,6,9,10,0.0030744081032260282
11,O,7,10,11,0.0015140174914273629
11,O,8,11,12,0.0007754513733421294
11,Q,1,4,5,0.20207442506483875
11,Q,2,5,6,0.16764173720336945
11,Q,3,6,7,0.12176507406858361
11,Q,4,7,8,0.0790489442134109
11,Q,5,8,9,0.04621381959790032
11,Q,6,9,10,0.025255619380039087
11,Q,7,10,11,0.013245784277647433
11,Q,8,11,12,0.006789092981361754
11,V,1,4,5,0.19863056622006325
11,V,2,5,6,0.15887651976462203
11,V,3,6,7,0.11185511672363968
11,V,4,7,8,0.07080492377648784
11,V,5,8,9,0.04202445318228233
11,V,6,9,10,0.02347218329579271
11,V,7,10,11,0.012859501680260422
11,V,8,11,12,0.006917584624022882
